iter	RMSE
314	0.3077669002
315	0.3075883032
316	0.3074520325
317	0.3073104986
318	0.3071338874
319	0.3069368507
320	0.3067407159
321	0.306585754
322	0.3064289729
323	0.3062953427
324	0.3061098239
325	0.30595193
326	0.3057934985
327	0.3056518464
328	0.3055223738
329	0.3053995509
330	0.3052756998
331	0.3050974538
332	0.3049528331
333	0.3048183872
334	0.3047017077
335	0.3045660925
336	0.3044550122
337	0.3043451939
338	0.3042383993
339	0.3041278177
340	0.3040247526
341	0.3039237436
342	0.3038208995
343	0.3036926592
344	0.3035830873
345	0.3034547714
346	0.3033589451
347	0.3032398659
348	0.3031347723
349	0.302981835
350	0.3028817863
351	0.3027870696
352	0.3026928312
353	0.3025826759
354	0.3024884431
355	0.3024020998
356	0.3022724863
357	0.3021479759
358	0.3020592547
359	0.3019732895
360	0.3018497859
361	0.3017348256
362	0.3016512632
363	0.3015564389
364	0.3014533605
365	0.3013649371
366	0.301285503
367	0.3011831437
368	0.3010683267
369	0.3009882446
370	0.3009133199
371	0.3008014972
372	0.3006667077
373	0.3005300583
374	0.3004590323
375	0.3003630249
376	0.3002936225
377	0.3002241875
378	0.3000980369
379	0.2999945813
380	0.299892793
381	0.2998086042
382	0.2996861437
383	0.299624894
384	0.29955575
385	0.2994885993
386	0.2993883194
387	0.2992966825
388	0.299229888
389	0.2991640467
390	0.299078403
391	0.2989581619
392	0.2988935487
393	0.298820423
394	0.2987606332
395	0.2986739119
396	0.2986163127
397	0.2985315397
398	0.2984501569
399	0.2983640651
400	0.2983101097
401	0.2982492714
402	0.29817396
403	0.2980917575
404	0.2980310381
405	0.2979245538
406	0.297870054
407	0.2978008357
408	0.2976908266
409	0.2976194602
410	0.297556079
411	0.2974869901
412	0.297409931
413	0.2973571323
414	0.2972661044
415	0.2971895412
416	0.2971283846
417	0.2970787404
418	0.2970236708
419	0.2969779734
420	0.2969220492
421	0.2968732887
422	0.2968226912
423	0.2967530406
424	0.2967064826
425	0.2966595067
426	0.2966139455
427	0.2965614897
428	0.2964628315
429	0.2964104378
430	0.2963611233
431	0.2962783967
432	0.2962349157
433	0.296143426
434	0.2960930537
435	0.2960373349
436	0.2959887001
437	0.2959323075
438	0.2958920098
439	0.2958536119
440	0.2958084054
441	0.295743499
442	0.2956959776
443	0.2956461145
444	0.295599505
445	0.295552398
446	0.2955063866
447	0.2954185102
448	0.2953765595
449	0.2953289735
450	0.2952755411
451	0.2952382248
452	0.2951999627
453	0.2951596966
454	0.2951224434
455	0.295086734
456	0.2949691555
457	0.2948842716
458	0.2948222204
459	0.2947786065
460	0.2947168135
461	0.2946761387
462	0.2945877067
463	0.2945067672
464	0.2944761898
465	0.294293574
466	0.2942414335
467	0.2939906798
468	0.2939431092
469	0.2938669121
470	0.2937926209
471	0.2935458778
472	0.2934650659
473	0.2932207851
474	0.2931728397
475	0.2931395291
476	0.2931109901
477	0.2930827001
478	0.2930526695
479	0.2930227802
480	0.292942454
481	0.2928626123
482	0.2928301726
483	0.2927783538
484	0.2927055822
485	0.2925963957
486	0.292487119
487	0.2924242212
488	0.2923884149
489	0.2923425576
490	0.2923093016
491	0.2922788081
492	0.2922061826
493	0.2921720716
494	0.2920706058
495	0.2920425063
496	0.2918001533
497	0.2917429686
498	0.2915032059
499	0.2912635915
